[estr],0.3mM,0.8mM,3.0mM,4.8mM
0.0703470115,0.217682739,,,
0.0576768604,0.1655574605,,,
0.1471359598,0.3834460656,,,
0.1677368323,0.3859164579,,,
0.2672808661,0.5497034706,,,
0.4169495248,0.687839576,,,
0.4470738364,0.5827655548,,,
0.6774186564,0.772862246,,,
1.0315421909,0.8830417447,,,
2.1176584099,0.9940447075,,,
4.675545227,0.8615081581,,,
0.0428620325,,0.0935815501,,
0.0957091974,,0.1958249134,,
0.1081079163,,0.2352276714,,
0.1758751629,,0.386739922,,
0.1949384203,,0.4078308967,,
0.4825199437,,0.8255588027,,
0.8682368231,,0.9819500783,,
1.301545155,,1.0050791267,,
1.8278545161,,1.0068701611,,
5.6385169066,,1.040174138,,
16.0120306716,,1.1220058845,,
17.7668475803,,0.970431874,,
0.0495075624,,,0.0440429782,
0.1641885389,,,0.1567834503,
0.2776696423,,,0.2725336838,
0.4871249212,,,0.5040341507,
0.793621616,,,0.7341553152,
1.3625591785,,,0.841819131,
7.5757035981,,,0.9806140078,
13.0294585987,,,0.943319318,
20.2712692967,,,0.9731822441,
0.0702954467,,,,0.0302314264
0.1310253758,,,,0.0730258271
0.1587655548,,,,0.1042479837
0.1940735979,,,,0.1407737639
0.2296341615,,,,0.1595616124
0.410191366,,,,0.2991825266
0.6053457257,,,,0.4208184698
0.7476371301,,,,0.5702849268
1.1537807961,,,,0.796732412
4.3795069143,,,,1.0027322539
9.6636335472,,,,0.9953236502
15.8793510958,,,,0.9889109234
